episode,step,timestamp,task_id,agent_id,state,action
0,25,1743066650.9922996,387,2,"[4.226994514465332, 12.84948444366455]",7
0,25,1743066650.9922996,387,3,"[17.775293350219727, 1.3362452983856201]",2
0,26,1743066650.9953003,334,0,"[0.4486671984195709, 19.72896957397461]",6
0,26,1743066650.9953003,334,1,"[2.094520330429077, 101.6846694946289]",7
0,26,1743066650.9953003,334,2,"[4.226994514465332, 12.84948444366455]",5
0,26,1743066650.9953003,334,3,"[17.775293350219727, 1.3362452983856201]",9
0,27,1743066650.9983013,192,0,"[0.4486671984195709, 19.72896957397461]",8
0,27,1743066650.9983013,192,1,"[1.1153970956802368, 55.254066467285156]",7
0,27,1743066650.9983013,192,2,"[4.226994514465332, 12.84948444366455]",7
0,27,1743066650.9983013,192,3,"[17.775293350219727, 1.3362452983856201]",2
0,28,1743066651.0011673,440,0,"[0.4486671984195709, 19.72896957397461]",9
0,28,1743066651.0011673,440,1,"[1.1153970956802368, 55.254066467285156]",6
0,28,1743066651.0011673,440,2,"[4.226994514465332, 12.84948444366455]",2
0,28,1743066651.0011673,440,3,"[17.775293350219727, 1.3362452983856201]",6
0,29,1743066651.0051663,552,0,"[0.4486671984195709, 19.72896957397461]",7
0,29,1743066651.0051663,552,1,"[1.1153970956802368, 55.254066467285156]",2
0,29,1743066651.0051663,552,2,"[4.226994514465332, 12.84948444366455]",8
0,29,1743066651.0051663,552,3,"[17.775293350219727, 1.3362452983856201]",9
0,30,1743066651.0081675,153,0,"[0.4486671984195709, 19.72896957397461]",4
0,30,1743066651.0081675,153,1,"[1.1153970956802368, 55.254066467285156]",9
0,30,1743066651.009166,153,2,"[4.226994514465332, 12.84948444366455]",9
0,30,1743066651.009166,153,3,"[17.775293350219727, 1.3362452983856201]",8
0,31,1743066651.0111673,504,0,"[0.4486671984195709, 19.72896957397461]",8
0,31,1743066651.0111673,504,1,"[1.1153970956802368, 55.254066467285156]",7
0,31,1743066651.0121655,504,2,"[4.226994514465332, 12.84948444366455]",5
0,31,1743066651.0121655,504,3,"[17.775293350219727, 1.3362452983856201]",5
0,32,1743066651.0231671,789,0,"[0.4486671984195709, 19.72896957397461]",5
0,32,1743066651.0231671,789,1,"[1.1153970956802368, 55.254066467285156]",7
0,32,1743066651.0241685,789,2,"[4.226994514465332, 12.84948444366455]",4
0,32,1743066651.0241685,789,3,"[17.775293350219727, 1.3362452983856201]",7
0,33,1743066651.0321696,361,0,"[0.4486671984195709, 19.72896957397461]",8
0,33,1743066651.0331697,361,1,"[1.1153970956802368, 55.254066467285156]",8
0,33,1743066651.0331697,361,2,"[4.226994514465332, 12.84948444366455]",2
0,33,1743066651.0331697,361,3,"[17.775293350219727, 1.3362452983856201]",1
0,34,1743066651.0421708,501,0,"[0.4486671984195709, 19.72896957397461]",5
0,34,1743066651.0421708,501,1,"[1.1153970956802368, 55.254066467285156]",7
0,34,1743066651.0421708,501,2,"[4.226994514465332, 12.84948444366455]",1
0,34,1743066651.0421708,501,3,"[17.775293350219727, 1.3362452983856201]",8
0,35,1743066651.0516813,848,0,"[0.4486671984195709, 19.72896957397461]",2
0,35,1743066651.0526838,848,1,"[1.1153970956802368, 55.254066467285156]",3
0,35,1743066651.0526838,848,2,"[4.226994514465332, 12.84948444366455]",2
0,35,1743066651.0526838,848,3,"[17.775293350219727, 1.3362452983856201]",5
0,36,1743066651.0616808,303,0,"[0.4486671984195709, 19.72896957397461]",1
0,36,1743066651.0616808,303,1,"[1.1153970956802368, 55.254066467285156]",1
0,36,1743066651.0616808,303,2,"[4.226994514465332, 12.84948444366455]",1
0,36,1743066651.0616808,303,3,"[17.775293350219727, 1.3362452983856201]",6
0,37,1743066651.0706835,751,0,"[0.4486671984195709, 19.72896957397461]",4
0,37,1743066651.0716841,751,1,"[1.1153970956802368, 55.254066467285156]",3
0,37,1743066651.0716841,751,2,"[4.226994514465332, 12.84948444366455]",3
0,37,1743066651.0716841,751,3,"[17.775293350219727, 1.3362452983856201]",8
0,38,1743066651.0796804,523,0,"[0.4486671984195709, 19.72896957397461]",8
0,38,1743066651.0806808,523,1,"[1.1153970956802368, 55.254066467285156]",7
0,38,1743066651.0806808,523,2,"[4.226994514465332, 12.84948444366455]",2
0,38,1743066651.0806808,523,3,"[17.775293350219727, 1.3362452983856201]",4
0,39,1743066651.089682,808,0,"[0.4486671984195709, 19.72896957397461]",5
0,39,1743066651.089682,808,1,"[1.1153970956802368, 55.254066467285156]",7
0,39,1743066651.089682,808,2,"[4.226994514465332, 12.84948444366455]",7
0,39,1743066651.089682,808,3,"[17.775293350219727, 1.3362452983856201]",1
0,40,1743066651.0996819,396,0,"[0.4486671984195709, 19.72896957397461]",4
0,40,1743066651.0996819,396,1,"[1.1153970956802368, 55.254066467285156]",2
0,40,1743066651.0996819,396,2,"[4.226994514465332, 12.84948444366455]",6
0,40,1743066651.0996819,396,3,"[17.775293350219727, 1.3362452983856201]",8
0,41,1743066651.1086805,275,0,"[0.4486671984195709, 19.72896957397461]",5
0,41,1743066651.1096838,275,1,"[1.1153970956802368, 55.254066467285156]",7
0,41,1743066651.1096838,275,2,"[4.226994514465332, 12.84948444366455]",5
0,41,1743066651.1096838,275,3,"[17.775293350219727, 1.3362452983856201]",9
0,42,1743066651.118682,236,0,"[0.4486671984195709, 19.72896957397461]",7
0,42,1743066651.118682,236,1,"[1.1153970956802368, 55.254066467285156]",6
0,42,1743066651.119683,236,2,"[4.226994514465332, 12.84948444366455]",8
0,42,1743066651.119683,236,3,"[17.775293350219727, 1.3362452983856201]",8
0,43,1743066651.128681,370,0,"[0.4486671984195709, 19.72896957397461]",7
0,43,1743066651.128681,370,1,"[1.1153970956802368, 55.254066467285156]",5
0,43,1743066651.128681,370,2,"[4.226994514465332, 12.84948444366455]",4
0,43,1743066651.128681,370,3,"[17.775293350219727, 1.3362452983856201]",3
0,44,1743066651.138688,456,0,"[0.4486671984195709, 19.72896957397461]",7
0,44,1743066651.138688,456,1,"[1.1153970956802368, 55.254066467285156]",7
0,44,1743066651.138688,456,2,"[4.226994514465332, 12.84948444366455]",7
0,44,1743066651.138688,456,3,"[17.775293350219727, 1.3362452983856201]",1
0,45,1743066651.1482012,788,0,"[0.4486671984195709, 19.72896957397461]",6
0,45,1743066651.1482012,788,1,"[1.1153970956802368, 55.254066467285156]",4
0,45,1743066651.1482012,788,2,"[4.226994514465332, 12.84948444366455]",4
0,45,1743066651.1482012,788,3,"[17.775293350219727, 1.3362452983856201]",2
0,46,1743066651.1572003,218,0,"[0.4486671984195709, 19.72896957397461]",4
0,46,1743066651.1572003,218,1,"[1.1153970956802368, 55.254066467285156]",3
0,46,1743066651.1572003,218,2,"[4.226994514465332, 12.84948444366455]",6
0,46,1743066651.1572003,218,3,"[17.775293350219727, 1.3362452983856201]",7
0,47,1743066651.1661983,615,0,"[0.4486671984195709, 19.72896957397461]",1
0,47,1743066651.1661983,615,1,"[1.1153970956802368, 55.254066467285156]",1
0,47,1743066651.1661983,615,2,"[4.226994514465332, 12.84948444366455]",5
0,47,1743066651.1661983,615,3,"[17.775293350219727, 1.3362452983856201]",5
0,48,1743066651.1761985,590,0,"[0.4486671984195709, 19.72896957397461]",2
0,48,1743066651.1761985,590,1,"[1.1153970956802368, 55.254066467285156]",3
0,48,1743066651.1761985,590,2,"[4.226994514465332, 12.84948444366455]",4
0,48,1743066651.1761985,590,3,"[17.775293350219727, 1.3362452983856201]",1
0,49,1743066651.1862018,319,0,"[0.4486671984195709, 19.72896957397461]",6
0,49,1743066651.1862018,319,1,"[1.1153970956802368, 55.254066467285156]",8
0,49,1743066651.1862018,319,2,"[4.226994514465332, 12.84948444366455]",6
0,49,1743066651.1862018,319,3,"[17.775293350219727, 1.3362452983856201]",5
1,0,1743066651.1992,180,0,"[51.0, 34.0]",9
1,0,1743066651.1992,180,1,"[22.0, 182.0]",9
1,0,1743066651.1992,180,2,"[43.0, 255.0]",8
1,0,1743066651.2002,180,3,"[6.0, 34.0]",4
1,0,1743066651.2002,180,4,"[18.0, 242.0]",5
1,0,1743066651.2002,180,5,"[8.0, 82.0]",1
1,1,1743066651.213201,763,0,"[48.54599380493164, 10.649519920349121]",1
1,1,1743066651.213201,763,1,"[22.0, 182.0]",4
1,1,1743066651.213201,763,2,"[43.0, 255.0]",8
1,1,1743066651.213201,763,3,"[6.0, 34.0]",8
1,1,1743066651.213201,763,4,"[18.0, 242.0]",6
1,1,1743066651.213201,763,5,"[8.0, 82.0]",9
1,2,1743066651.2262006,801,0,"[48.54599380493164, 10.649519920349121]",9
1,2,1743066651.2262006,801,1,"[22.0, 182.0]",7
1,2,1743066651.2262006,801,2,"[43.0, 255.0]",5
1,2,1743066651.2262006,801,3,"[6.0, 34.0]",9
1,2,1743066651.2262006,801,4,"[18.0, 242.0]",1
1,2,1743066651.2262006,801,5,"[4.511384963989258, 5.624573230743408]",5
1,3,1743066651.240206,620,0,"[48.54599380493164, 10.649519920349121]",3
